Ticker,Date,Cluster
NBY,2018-08-13,1
COTY,2017-10-30,4
TROW,2020-09-28,3
VCNX,2019-05-13,1
ERII,2016-07-25,4
BDC,2016-07-18,3
CPT,2019-07-22,4
HURN,2019-08-05,3
MRC,2019-03-25,3
EW,2016-10-10,1
QMCO,2015-10-19,1
CCNE,2020-09-21,4
LNT,2017-08-14,4
INFU,2017-09-25,4
KO,2017-09-25,4
BRC,2017-10-16,4
PRFT,2019-09-23,4
OSPN,2018-03-05,3
MGRC,2015-04-06,4
RIOT,2019-09-16,1
PARR,2020-07-13,4
WEYS,2020-02-24,4
KMT,2018-10-29,3
TRMB,2019-10-28,4
MBOT,2020-03-16,0
ORC,2017-09-25,4
AXON,2016-07-25,4
HWKN,2016-04-18,4
AMC,2016-07-18,1
PEBO,2017-11-27,4
AYRO,2018-04-02,4
KTOS,2017-01-23,3
CIA,2020-08-03,4
WAT,2015-07-20,4
CACC,2018-02-26,4
AJG,2018-07-09,4
PFE,2019-10-21,4
WDAY,2020-09-14,4
MNSB,2019-12-09,4
FBNC,2016-07-11,4
FLWS,2020-07-06,3
APPS,2017-03-06,4
AMED,2015-10-26,3
SBAC,2018-04-09,1
SOFO,2015-05-11,2
VVI,2020-07-27,3
TMO,2017-04-17,3
ONB,2018-06-11,4
META,2019-06-17,4
DOOR,2020-06-15,1
REI,2019-07-22,2
OUT,2015-08-24,4
NDLS,2015-11-30,1
CMG,2020-08-10,3
HSTM,2016-09-26,3
SHEN,2019-12-02,4
AMG,2017-12-04,4
ORMP,2018-03-05,4
KMI,2019-06-03,4
VRNT,2016-05-02,1
FTDR,2019-07-22,4
VRTS,2017-01-30,4
BOTJ,2020-09-21,4
KPRX,2020-10-05,4
AXP,2015-02-23,4
L,2016-01-25,3
MEDP,2020-06-01,1
BGFV,2015-10-12,4
AMT,2015-10-05,4
MRCY,2015-05-04,3
GSIT,2017-07-17,4
HWKN,2019-08-05,1
RDI,2017-08-07,4
AINC,2020-06-15,4
CRAI,2017-09-25,3
INGN,2015-10-26,3
WOLF,2018-08-20,4
DFIN,2017-06-19,1
SPFI,2020-11-30,3
PRG,2015-11-30,1
CLPR,2018-04-02,4
ASUR,2020-09-14,4
FOSL,2017-01-30,1
CGNX,2020-10-19,1
CME,2015-05-11,4
WOLF,2018-08-06,1
SIGI,2019-05-13,4
COOP,2018-08-13,3
WST,2017-07-10,4
ACR,2017-12-11,1
B,2019-09-16,1
WHLR,2018-09-17,1
UBFO,2020-07-27,1
VTNR,2016-11-07,4
WHG,2017-07-10,4
BAH,2016-07-18,4
FNB,2018-03-12,1
TAYD,2019-08-19,4
PROV,2016-10-10,4
SBCF,2015-09-14,1
AAME,2019-10-07,4
ARTL,2020-11-30,4
WHLM,2017-09-11,3
OOMA,2019-02-04,1
LDOS,2015-02-02,4
WH,2019-10-07,4
MNSB,2019-07-15,4
ULTA,2015-09-28,4
CNXN,2019-05-06,1
XPRO,2019-10-21,4
FXNC,2016-04-11,4
BKE,2020-08-24,3
LPSN,2017-09-25,4
ATGE,2015-08-17,1
NSIT,2019-02-04,3
SFNC,2019-04-22,4
ULBI,2019-06-10,4
MSI,2016-08-22,4
GABC,2020-05-11,4
QRTEA,2017-08-21,4
SCCO,2018-07-16,4
KWR,2017-09-11,4
IPWR,2015-10-26,3
HR,2019-08-19,4
HBNC,2017-06-12,1
OMI,2016-11-07,4
AVT,2018-11-05,4
CQP,2017-07-31,1
CRBP,2016-11-28,1
F,2018-04-23,4
UHS,2017-09-25,4
GEVO,2020-03-02,2
IMKTA,2016-06-20,4
PAHC,2019-10-28,4
BMTX,2020-10-19,4
SCOR,2015-08-03,3
EGRX,2017-10-02,1
SVT,2018-11-05,3
VOC,2015-12-07,2
MO,2016-08-01,4
SPR,2020-03-23,3
PNBK,2017-08-07,4
SITE,2019-10-28,3
EP,2016-01-04,1
CLH,2019-02-04,4
SF,2018-01-22,4
NC,2018-04-23,1
CCEL,2018-05-07,4
HPP,2017-10-16,4
RIGL,2015-03-02,3
KR,2018-02-05,4
SOTK,2015-09-21,1
XRX,2020-05-11,1
CNSL,2020-05-04,4
MPC,2015-09-14,4
LWLG,2015-10-26,4
BWEN,2020-11-30,2
OEC,2017-12-04,1
CCRD,2018-09-24,1
EKSO,2020-02-24,2
MTEM,2018-05-07,2
CVLT,2018-04-23,1
LZB,2020-09-28,3
ABVC,2016-02-01,4
MARA,2015-03-16,1
PAHC,2018-10-29,1
GWW,2016-05-09,1
ALEC,2020-04-27,4
NBHC,2017-08-21,4
MHO,2019-07-08,4
JVA,2015-03-02,1
INFN,2016-02-01,1
SWI,2019-09-23,4
ALPN,2016-06-13,1
MITK,2020-05-11,1
ENSV,2017-08-14,3
BLPH,2016-09-12,4
VRE,2020-02-03,4
SOTK,2017-09-25,3
HP,2015-11-02,1
ENSV,2018-08-06,2
PLOW,2019-10-14,4
KRO,2020-08-03,3
TIPT,2017-07-17,4
SIGI,2017-03-13,4
WYNN,2015-02-02,4
SNX,2015-04-20,4
GBDC,2020-09-21,4
MYRG,2017-09-11,4
LILAK,2018-07-23,4
VRE,2018-09-10,1
AVNS,2015-06-08,4
PAG,2018-07-09,1
AGAE,2018-08-06,4
BCRX,2019-11-04,2
BGSF,2018-07-23,3
IT,2015-07-27,4
OLB,2015-08-10,4
OBLG,2017-05-08,4
SRDX,2015-09-21,1
BIO,2018-09-24,4
HGBL,2018-07-09,3
OLLI,2018-11-05,4
SSNT,2017-11-27,4
KTCC,2018-07-30,1
BXC,2019-03-18,3
D,2015-10-19,4
SKT,2019-06-10,4
IDT,2015-02-02,4
FTDR,2019-01-07,4
XHR,2019-08-12,1
LAZ,2019-10-28,4
COTY,2020-02-03,3
UNM,2016-05-02,4
SOHO,2016-02-22,4
XWEL,2019-09-16,4
COHN,2017-11-27,4
PXLW,2017-10-02,4
MCO,2018-03-05,4
BTTR,2019-08-19,1
OPXS,2019-01-28,3
WRB,2018-01-22,4
VBTX,2018-06-11,4
PAYS,2016-04-04,0
PUMP,2018-04-02,3
SPWR,2019-06-17,0
NKSH,2020-03-09,3
CTLT,2020-04-13,3
NTLA,2018-09-24,1
XHR,2018-09-10,4
STZ,2017-10-23,4
PRPH,2018-10-29,4
LMT,2015-05-04,4
WLK,2017-07-17,4
TNC,2020-03-02,2
TDS,2019-07-15,4
MPU,2020-10-12,3
BMI,2020-07-13,4
GEN,2015-02-23,1
DBRG,2019-10-07,1
BRBS,2018-10-15,3
MED,2018-04-23,3
CBRL,2019-01-28,4
VNO,2017-09-25,4
DKL,2018-07-09,4
RBBN,2019-05-13,4
BANR,2018-04-02,4
GPI,2019-10-21,3
WSBC,2015-07-13,4
THG,2016-11-28,4
TUP,2019-10-21,2
MPC,2020-07-06,4
WEYS,2020-02-03,4
PAG,2016-01-04,2
PLNT,2016-10-17,4
PXLW,2020-07-27,4
HNI,2020-08-24,4
CBFV,2019-12-02,4
PCAR,2016-02-01,4
CMI,2016-09-19,4
FUNC,2016-11-28,4
MSM,2017-12-11,4
BBSI,2019-03-18,1
LILAK,2015-07-20,1
INSM,2019-10-21,4
CSX,2016-03-07,4
HOFV,2020-10-12,1
UNAM,2018-04-16,4
GDOT,2017-10-16,4
LTC,2019-07-29,4
HSII,2015-11-30,4
ACCO,2016-06-06,4
MRNS,2019-03-25,3
PW,2015-06-01,4
EOG,2018-08-13,1
AIZ,2018-02-05,4
DPZ,2018-06-18,4
RWT,2016-09-12,4
PODD,2019-08-12,4
PFE,2019-07-08,4
GMS,2018-06-04,4
OBLG,2018-10-22,1
NSC,2016-08-08,4
ADVM,2016-10-31,3
TVTX,2019-10-07,1
INVE,2019-09-16,1
GPI,2017-03-20,1
TPR,2016-02-29,4
SP,2019-09-16,4
DNOW,2020-02-03,4
RGP,2019-10-07,1
ZD,2020-10-12,1
CVS,2018-12-10,1
AXTA,2019-11-11,1
FARO,2017-10-30,4
WHG,2017-06-19,4
CLDX,2017-12-04,4
WTER,2018-10-08,1
CVCO,2015-04-20,1
BUSE,2017-12-11,4
ESPR,2019-05-13,3
FLWS,2017-08-21,1
GBR,2019-10-07,4
PSTV,2016-07-11,4
LILA,2018-06-18,1
HRTG,2020-07-27,3
CC,2017-06-19,1
JNJ,2016-11-07,4
BLUE,2019-08-19,2
ATR,2015-06-08,4
CNVS,2018-09-24,1
VRNT,2019-05-06,1
DE,2015-10-05,4
MO,2017-04-24,1
RVYL,2019-03-18,2
OMF,2016-01-04,2
GALT,2016-09-12,0
CFBK,2019-10-21,4
WIRE,2015-02-02,4
XHR,2018-10-29,4
GLBZ,2015-04-27,4
SAIC,2015-07-13,4
NEOG,2018-10-01,1
HTH,2018-04-02,4
TAYD,2017-04-17,4
RELL,2016-10-31,1
POWW,2018-01-22,1
ZYXI,2017-07-10,3
RL,2015-09-14,4
LCII,2016-11-07,3
NOC,2016-11-28,4
CXDO,2018-10-29,4
BRC,2020-11-02,3
BPT,2016-06-13,3
BCOV,2016-12-12,4
RUSHA,2017-03-20,1
WMT,2015-07-06,4
SJT,2016-07-18,4
CBRL,2015-04-27,1
ANF,2018-09-17,3
PUMP,2018-07-23,3
IMMR,2018-10-08,4
EXPI,2019-11-04,4
NRC,2020-07-13,3
LBRDK,2015-06-01,4
USIO,2020-11-09,4
KFS,2019-01-07,1
IDR,2016-04-25,1
POOL,2016-05-09,4
M,2015-11-09,2
DSGR,2017-03-13,1
AWK,2016-08-08,4
UPBD,2019-05-06,4
LXU,2019-05-13,2
NCSM,2020-09-28,4
HTLD,2015-06-08,1
LAND,2017-09-25,4
GNTX,2015-11-02,1
ENLC,2018-04-09,3
CLDT,2017-12-04,4
BYFC,2015-07-13,1
BSY,2020-09-28,1
KEY,2020-03-16,4
PBT,2016-03-28,4
KLAC,2017-07-31,1
SKT,2015-12-07,4
EPC,2020-07-20,4
IOR,2015-02-02,4
WSC,2020-08-03,3
PANW,2020-10-26,4
PWR,2015-01-26,4
SMLP,2016-09-26,4
X,2020-08-03,3
GROW,2016-02-29,4
PCH,2018-01-29,1
CWT,2018-02-05,1
PEGA,2018-09-17,1
BKE,2020-05-11,1
BFI,2019-06-17,4
XTNT,2018-01-22,1
GME,2019-02-04,4
EFOI,2020-09-21,1
CASH,2019-06-17,1
GVP,2015-08-17,4
OCFC,2020-04-13,1
DEI,2017-09-18,4
CIEN,2020-03-23,3
RMAX,2019-08-19,4
LASR,2020-10-19,1
HES,2017-10-02,1
ALK,2016-04-18,1
AR,2015-11-09,1
INLX,2020-08-24,3
ATR,2019-03-18,4
FORR,2015-11-30,1
D,2019-03-18,4
XBIT,2016-10-10,3
CNFR,2019-05-06,1
GPRE,2017-09-25,4
CHRD,2016-06-20,1
SRTS,2020-07-20,1
BAC,2017-12-11,4
WLDN,2020-07-20,1
TNL,2017-10-23,4
AX,2019-06-03,3
ATNF,2020-04-27,4
TDS,2018-04-09,4
CXW,2018-08-20,4
BIMI,2020-03-16,0
RVTY,2019-03-11,4
INTZ,2020-04-13,4
CORT,2018-01-29,2
ITW,2018-04-09,4
PKOH,2015-04-13,4
IBCP,2018-04-30,4
BLNK,2015-06-08,3
HUBS,2015-08-24,3
DIN,2018-02-05,4
NRP,2020-09-14,3
ATEX,2019-06-10,1
CMC,2017-07-17,4
CYH,2018-08-20,4
SAFE,2015-10-12,4
UNM,2018-02-26,1
BCOV,2016-04-04,4
CROX,2018-07-16,3
HRZN,2018-04-30,1
IQV,2016-01-25,1
REPL,2018-07-30,3
AROC,2016-09-12,4
PRAX,2020-11-09,1
TXT,2019-04-22,4
LTBR,2020-11-09,3
ACRE,2019-03-04,4
CALB,2019-01-07,4
AWK,2019-07-22,4
FTFT,2016-03-28,2
MACK,2020-09-14,4
CLW,2019-03-25,3
HR,2017-06-12,4
MLI,2017-10-23,4
USIO,2019-05-13,4
RGP,2020-03-02,2
MIND,2020-07-06,0
GBLI,2016-08-22,4
NMIH,2019-03-04,3
FAST,2017-04-17,4
ENOV,2015-05-04,4
VTR,2016-02-29,4
RCL,2019-03-11,4
CME,2015-08-24,3
IRTC,2019-02-04,4
MNSB,2019-02-04,4
SAH,2015-10-12,4
MASI,2020-04-20,3
VICR,2015-04-13,1
